Type Collateral,Collateral Aircraft,Collateral Engine,Collateral Propeller,Collateral Spare Parts,Collateral Document,Collateral Unidentified,Party,Doc ID,Drdate,Processing Date,Corr Date,Corr ID,Serial ID,Doc Type
Aircraft,N10019,,,,,,,,2026-01-09,2026-01-09,,,51-0019,Evidence of Ownership
Aircraft,N10019,,,,,,,,2026-01-09,2026-01-09,,,51-0019,Evidence of Ownership
Aircraft,N10034,,,,,,,,2026-01-09,2026-01-09,,,19045C,Evidence of Ownership
Aircraft,N10034,,,,,,,,2026-01-09,2026-01-09,,,19045C,Evidence of Ownership
Aircraft,N10034,,,,,,,,2026-01-13,2026-01-13,,,19045C,Evidence of Ownership
Aircraft,N10034,,,,,,,,2026-01-13,2026-01-13,,,19045C,Evidence of Ownership
Aircraft,N1005,,,,,,,,2026-01-06,2026-01-06,,,JA478-12-15,Evidence of Ownership
Aircraft,N1005,,,,,,,,2026-01-06,2026-01-06,,,JA478-12-15,Evidence of Ownership
Aircraft,N1007S,,,,,,,,2026-01-08,2026-01-08,,,RB-209,Security Conveyance/Lien
Aircraft,N1007S,,,,,,,,2026-01-08,2026-01-08,,,RB-209,Security Conveyance/Lien
Aircraft,N1007X,,,,,,,,2026-01-12,2026-01-12,,,34-7570182,Evidence of Ownership
Aircraft,N1007X,,,,,,,,2026-01-12,2026-01-12,,,34-7570182,Evidence of Ownership
Aircraft,N100AF,,,,,,,,2026-01-21,2026-01-21,,,3022,Evidence of Ownership
Aircraft,N100AF,,,,,,,,2026-01-21,2026-01-21,,,3022,Evidence of Ownership
Aircraft,N100AF,,,,,,,,2026-01-21,2026-01-21,,,3022,Evidence of Ownership
Aircraft,N100AF,,,,,,,,2026-01-21,2026-01-21,,,3022,Evidence of Ownership
Aircraft,N100AF,,,,,,,,2026-01-21,2026-01-21,,,3022,Evidence of Ownership
Aircraft,N100AF,,,,,,,,2026-01-21,2026-01-21,,,3022,Evidence of Ownership
Aircraft,N100AF,,,,,,,,2026-01-21,2026-01-21,,,3022,Evidence of Ownership
Aircraft,N100AF,,,,,,,,2026-01-21,2026-01-21,,,3022,Evidence of Ownership
Aircraft,N100B,,,,,,,,2026-01-20,2026-01-20,,,57114,Evidence of Ownership
Aircraft,N100B,,,,,,,,2026-01-20,2026-01-20,,,57114,Evidence of Ownership
Aircraft,N100MD,,,,,,,,2026-01-09,2026-01-09,,,340A0535,Lien Release
Aircraft,N100MD,,,,,,,,2026-01-09,2026-01-09,,,340A0535,Lien Release
Aircraft,N100WH,,,,,,,,2026-01-09,2026-01-09,,,001,Evidence of Ownership
Aircraft,N100WH,,,,,,,,2026-01-09,2026-01-09,,,001,Evidence of Ownership
Aircraft,N1013P,,,,,,,,2026-01-12,2026-01-12,,,MC-428,Evidence of Ownership
Aircraft,N1013P,,,,,,,,2026-01-12,2026-01-12,,,MC-428,Evidence of Ownership
Aircraft,N10180,,,,,,,,2026-01-05,2026-01-05,,,C139,Evidence of Ownership
Aircraft,N10180,,,,,,,,2026-01-05,2026-01-05,,,C139,Evidence of Ownership
Aircraft,N101AV,,,,,,,,2026-01-09,2026-01-09,,,622SQ,Evidence of Ownership
Aircraft,N101AV,,,,,,,,2026-01-09,2026-01-09,,,622SQ,Evidence of Ownership
Aircraft,N101DW,,,,,,,ARE017477890,2026-01-16,2026-01-16,,,32R-7680399,Evidence of Ownership
Aircraft,N101DW,,,,,,,ARE017477888,2026-01-16,2026-01-16,,,32R-7680399,Evidence of Ownership
Aircraft,N101DW,,,,,,,ARE017477888,2026-01-16,2026-01-16,,,32R-7680399,Evidence of Ownership
Aircraft,N101DW,,,,,,,ARE017477890,2026-01-16,2026-01-16,,,32R-7680399,Evidence of Ownership
Aircraft,N101ER,,,,,,,,2026-01-13,2026-01-13,,,560-6179,Lien Release
Aircraft,N101ER,,,,,,,,2026-01-13,2026-01-13,,,560-6179,Security Conveyance/Lien
Aircraft,N101ER,,,,,,,,2026-01-13,2026-01-13,,,560-6179,Evidence of Ownership
Aircraft,N101ER,,,,,,,,2026-01-13,2026-01-13,,,560-6179,Evidence of Ownership
Aircraft,N101ER,,,,,,,,2026-01-13,2026-01-13,,,560-6179,Evidence of Ownership
Aircraft,N101ER,,,,,,,,2026-01-13,2026-01-13,,,560-6179,Security Conveyance/Lien
Aircraft,N101ER,,,,,,,,2026-01-13,2026-01-13,,,560-6179,Security Conveyance/Lien
Aircraft,N101ER,,,,,,,,2026-01-13,2026-01-13,,,560-6179,Evidence of Ownership
Aircraft,N101ME,,,,,,,,2026-01-07,2026-01-07,,,401A0130,Security Conveyance/Lien
Aircraft,N101ME,,,,,,,,2026-01-07,2026-01-07,,,401A0130,Security Conveyance/Lien
Aircraft,N101ME,,,,,,,,2026-01-07,2026-01-07,,,401A0130,Security Conveyance/Lien
Aircraft,N101ML,,,,,,,,2026-01-14,2026-01-14,,,34-8233066,Evidence of Ownership
Aircraft,N101ML,,,,,,,,2026-01-14,2026-01-14,,,34-8233066,Evidence of Ownership
Aircraft,N101ML,,,,,,,,2026-01-14,2026-01-14,,,34-8233066,Evidence of Ownership
Aircraft,N101ML,,,,,,,,2026-01-15,2026-01-15,,,34-8233066,Lien Release
Aircraft,N101ML,,,,,,,,2026-01-15,2026-01-15,,,34-8233066,Lien Release
Aircraft,N101ML,,,,,,,,2026-01-15,2026-01-15,,,34-8233066,Lien Release
Aircraft,N101RE,,,,,,,,2026-01-07,2026-01-07,,,6101,Security Conveyance/Lien
Aircraft,N101RE,,,,,,,,2026-01-07,2026-01-07,,,6101,Security Conveyance/Lien
Aircraft,N101RE,,,,,,,,2026-01-07,2026-01-07,,,6101,Security Conveyance/Lien
Aircraft,N101RE,,,,,,,,2026-01-07,2026-01-07,,,6101,Security Conveyance/Lien
Aircraft,N101TD,,,,,,,,2026-01-22,2026-01-22,,,29273,Evidence of Ownership
Aircraft,N101TD,,,,,,,,2026-01-22,2026-01-22,,,29273,Evidence of Ownership
Aircraft,N101VA,,,,,,,,2026-01-06,2026-01-06,,,SFD 001,Evidence of Ownership
Aircraft,N101VA,,,,,,,,2026-01-06,2026-01-06,,,SFD 001,Evidence of Ownership
Aircraft,N101WE,,,,,,,,2026-01-12,2026-01-12,2026-01-12,Record was changed,D-9231,Evidence of Ownership
Aircraft,N101WE,,,,,,,,2026-01-12,2026-01-12,2026-01-12,Record was changed,D-9231,Evidence of Ownership
Aircraft,N101WF,,,,,,,,2026-01-02,2026-01-05,,,197,Security Conveyance/Lien
Aircraft,N101WF,,,,,,,,2026-01-02,2026-01-05,,,197,Security Conveyance/Lien
Aircraft,N1023E,,,,,,,,2026-01-14,2026-01-14,,,7AC-4574,Evidence of Ownership
Aircraft,N1023E,,,,,,,,2026-01-14,2026-01-14,,,7AC-4574,Evidence of Ownership
Aircraft,N102CJ,,,,,,,,2026-01-05,2026-01-05,,,1237,Lien Release
Aircraft,N102CJ,,,,,,,,2026-01-05,2026-01-05,,,1237,Lien Release
Aircraft,N102EJ,,,,,,,,2026-01-05,2026-01-05,,,75-10428,Evidence of Ownership
Aircraft,N102GR,,,,,,,,2026-01-16,2026-01-16,,,85505,Evidence of Ownership
Aircraft,N102GR,,,,,,,,2026-01-16,2026-01-16,,,85505,Evidence of Ownership
Aircraft,N102SP,,,,,,,ARE017456825,2026-01-08,2026-01-08,,,S0327,Evidence of Ownership
Aircraft,N1033X,,,,,,,,2026-01-06,2026-01-06,,,28-7515376,Lien Release
Aircraft,N1033X,,,,,,,,2026-01-06,2026-01-06,,,28-7515376,Lien Release
Aircraft,N1033X,,,,,,,,2026-01-06,2026-01-06,,,28-7515376,Lien Release
Aircraft,N1033X,,,,,,,,2026-01-06,2026-01-06,,,28-7515376,Lien Release
Aircraft,N1037V,,,,,,,,2026-01-16,2026-01-16,,,18051989,Evidence of Ownership
Aircraft,N1037V,,,,,,,,2026-01-16,2026-01-16,,,18051989,Evidence of Ownership
Aircraft,N103DX,,,,,,,,2026-01-09,2026-01-09,,,31-0100,Security Conveyance/Lien
Aircraft,N103DX,,,,,,,,2026-01-09,2026-01-09,,,31-0100,Security Conveyance/Lien
Aircraft,N103DX,,,,,,,,2026-01-09,2026-01-09,,,31-0100,Security Conveyance/Lien
Aircraft,N103V,,,,,,,,2026-01-20,2026-01-20,,,80323,Security Conveyance/Lien
Aircraft,N103V,,,,,,,,2026-01-20,2026-01-20,,,80323,Evidence of Ownership
Aircraft,N103V,,,,,,,,2026-01-20,2026-01-20,,,80323,Security Conveyance/Lien
Aircraft,N103V,,,,,,,,2026-01-20,2026-01-20,,,80323,Security Conveyance/Lien
Aircraft,N103V,,,,,,,,2026-01-20,2026-01-20,,,80323,Evidence of Ownership
Aircraft,N103V,,,,,,,,2026-01-21,2026-01-21,,,80323,Lien Release
Aircraft,N103V,,,,,,,,2026-01-21,2026-01-21,,,80323,Lien Release
Aircraft,N103WB,,,,,,,,2026-01-14,2026-01-14,,,050312,Evidence of Ownership
Aircraft,N103WB,,,,,,,,2026-01-14,2026-01-14,,,050312,Evidence of Ownership
Aircraft,N104AJ,,,,,,,,2026-01-23,2026-01-23,,,G-1015,Evidence of Ownership
Aircraft,N104AJ,,,,,,,,2026-01-23,2026-01-23,,,G-1015,Evidence of Ownership
Aircraft,N104CC,,,,,,,,2026-01-02,2026-01-02,,,9947CC,Evidence of Ownership
Aircraft,N104CC,,,,,,,,2026-01-02,2026-01-02,,,9947CC,Evidence of Ownership
Aircraft,N1050F,,,,,,,,2026-01-22,2026-01-22,,,18502707,Court Documents
Aircraft,N1050F,,,,,,,,2026-01-22,2026-01-22,,,18502707,Court Documents
Aircraft,N1050F,,,,,,,,2026-01-22,2026-01-22,,,18502707,Court Documents
Aircraft,N1050F,,,,,,,,2026-01-22,2026-01-22,,,18502707,Court Documents
Aircraft,N1050F,,,,,,,,2026-01-22,2026-01-22,,,18502707,Court Documents
Aircraft,N1050F,,,,,,,,2026-01-22,2026-01-22,,,18502707,Court Documents
Aircraft,N1050F,,,,,,,,2026-01-22,2026-01-22,,,18502707,Court Documents
Aircraft,N1051V,,,,,,,,2026-01-16,2026-01-16,,,U20602421,Evidence of Ownership
Aircraft,N1051V,,,,,,,,2026-01-16,2026-01-16,,,U20602421,Evidence of Ownership
Aircraft,N1051V,,,,,,,,2026-01-16,2026-01-16,,,U20602421,Evidence of Ownership
Aircraft,N1051V,,,,,,,,2026-01-16,2026-01-16,,,U20602421,Evidence of Ownership
Aircraft,N1054C,,,,,,,,2026-01-05,2026-01-05,,,29-0296,Evidence of Ownership
Aircraft,N1054C,,,,,,,,2026-01-05,2026-01-05,,,29-0296,Evidence of Ownership
Aircraft,N1054C,,,,,,,,2026-01-05,2026-01-05,,,29-0296,Evidence of Ownership
Aircraft,N10553,,,,,,,,2025-12-31,2026-01-02,,,1581F446LJ6520300450,Evidence of Ownership
Aircraft,N10553,,,,,,,,2025-12-31,2026-01-02,,,1581F446LJ6520300450,Evidence of Ownership
Aircraft,N105BG,,,,,,,,2026-01-02,2026-01-02,,,560-0315,Lien Release
Aircraft,N105BG,,,,,,,,2026-01-02,2026-01-02,,,560-0315,Lien Release
Aircraft,N105BG,,,,,,,,2026-01-09,2026-01-09,,,560-0315,Lien Release
Aircraft,N105BG,,,,,,,,2026-01-09,2026-01-09,,,560-0315,Lien Release
Aircraft,N105BG,,,,,,,,2026-01-09,2026-01-09,,,560-0315,Lien Release
Aircraft,N105JP,,,,,,,,2026-01-05,2026-01-05,,,5150,Security Conveyance/Lien
Aircraft,N105JP,,,,,,,,2026-01-05,2026-01-05,,,5150,Security Conveyance/Lien
Aircraft,N106MR,,,,,,,,2026-01-21,2026-01-21,,,32-8206009,Evidence of Ownership
Aircraft,N106MR,,,,,,,,2026-01-21,2026-01-21,,,32-8206009,Evidence of Ownership
Aircraft,N106RW,,,,,,,,2026-01-05,2026-01-05,,,1425,Evidence of Ownership
Aircraft,N106RW,,,,,,,,2026-01-05,2026-01-05,,,1425,Evidence of Ownership
Aircraft,N1077W,,,,,,,,2026-01-20,2026-01-20,,,E-420,Evidence of Ownership
Aircraft,N1077W,,,,,,,,2026-01-20,2026-01-20,,,E-420,Evidence of Ownership
Aircraft,N1077W,,,,,,,,2026-01-20,2026-01-20,,,E-420,Evidence of Ownership
Aircraft,N107CA,,,,,,,,2026-01-14,2026-01-14,,,R1340011,Lien Release
