Code,Mfr,Model,Type,Horsepower,Thrust
0,NONE,NONE,None,,
401,A.C.E.,HIDR MARK III,Reciprocating,95,
402,A.C.E.,UPRI MARK III,Reciprocating,100,
450,AEROMOMENT,AM13 SERIES,4 Cycle,100,
452,AEROMOMENT,AM15 SERIES,4 Cycle,117,
500,AEROMOTORS,M-14PFXDK,Reciprocating,360,
501,AEROMOTORS,M14P-XEDK,Reciprocating,360,
511,AEROMOTORS,M14PF,Reciprocating,400,
550,AEROMAX,100 IFB,Reciprocating,100,
600,AEROSTAR,M-14P,Reciprocating,360,
1001,AERONCA,E107A,Reciprocating,30,
1002,AERONCA,E113 SERIES,Reciprocating,45,
1003,AERONCA,E-113,Reciprocating,36,
1004,AERONCA,E-113A,Reciprocating,36,
1006,AERONCA,E-113B,Reciprocating,36,
1007,AERONCA,E-113C,Reciprocating,40,
1008,AERONCA,E-113CDB,Reciprocating,45,
1009,AERONCA,E-113CB,Reciprocating,42,
1010,AERONCA,E-113CD,Reciprocating,42,
1300,AEROSPORT,O-360,Reciprocating,180,
1301,AEROSPORT,O-360-A1A,Reciprocating,180,
1302,AEROSPORT,O-320-D1A,Reciprocating,170,
1303,AEROSPORT,O-360 A2A,Reciprocating,180,
1304,AEROSPORT,IO-390,Reciprocating,210,
1305,AEROSPORT,IO-375 SERIES,Reciprocating,180,
1306,AEROSPORT,IO-360 SERIES,Reciprocating,180,
1307,AEROSPORT,O/IO-320 SER,Reciprocating,180,
1308,AEROSPORT,IO-540-D4A5,Reciprocating,260,
1309,AEROSPORT,IO-360MI,Reciprocating,180,
1310,AEROSPORT,IO-375-B1B,Reciprocating,205,
1311,AEROSPORT,IO-400-M1S,Reciprocating,215,
1312,AEROSPORT,IO-375-M1,Reciprocating,195,
1315,AEROSPORT,IO382 SERIES,4 Cycle,200,
1319,AEROSPORT,ECIIO375M1SD,Reciprocating,195,
1320,AEROSPORT,CC-340,Reciprocating,185,
1321,AEROSPORT,CC363I,Reciprocating,187,
1322,AEROSPORT,IO-540-EXP,Reciprocating,250,
1325,AEROSPORT,IO-375M1S,Reciprocating,205,
1326,AEROSPORT,OX340,Reciprocating,180,
1330,AEROSPORT,IO-375-M2S,Reciprocating,205,
1398,AEROCONVER,AEROVEE 2.1 T,Reciprocating,100,
1399,AEROSPORT,O-375-A2A,Reciprocating,205,
1400,AEROVEE,2180,4 Cycle,80,
1401,AEROCONVER,AEROVEE,Reciprocating,80,
1402,AEROVEE,2.1,4 Cycle,80,
1403,AEROVEE,2.0,4 Cycle,80,
1404,AEROCONVER,AEROVEE 2.1,Reciprocating,80,
1405,AEROVEE,2002,Reciprocating,80,
1406,AEROVEE,2.1 TURBO,4 Cycle,100,
1410,AEROSPORT,O/IO-340 SERI,Reciprocating,185,
1498,AIRESEARCH,TPE331-2,Turbo-prop,715,
1499,AEROSPORT,O-375-A1A,Reciprocating,205,
1501,AIRESEARCH,GTC-85-135,Turbo-prop,242,
1502,AIRESEARCH,331 SER 605HP,Turbo-prop,605,
1503,AIRESEARCH,TPE331-25A,Turbo-prop,575,
1504,AIRESEARCH,TPE331-25AA,Turbo-prop,575,
1505,AIRESEARCH,TSE331 SERIES,Turbo-shaft,800,
1506,AIRESEARCH,331SER 705HP,Turbo-prop,705,
1507,AIRESEARCH,TPE331-25AB,Turbo-prop,575,
1508,AIRESEARCH,331SER 755HP,Turbo-fan,755,
1509,AIRESEARCH,TPE331-25B,Turbo-prop,575,
1510,AIRESEARCH,331SER 904HP,Turbo-prop,904,
1511,AIRESEARCH,TPE331-25C,Turbo-prop,575,
1512,AIRESEARCH,331SER 1008HP,Turbo-prop,1008,
1513,AIRESEARCH,TPE331-25D,Turbo-prop,575,
1514,AIRESEARCH,TPE331 SERIES,Turbo-prop,904,
1515,AIRESEARCH,TPE331-5&6SER,Turbo-prop,776,
1516,AIRESEARCH,TPE331-25DA,Turbo-prop,575,
1517,AIRESEARCH,TPE331 SERIES,Turbo-prop,600,
1518,AIRESEARCH,TFE731 SER,Turbo-jet,,3500
1519,AIRESEARCH,TPE331-25DB,Turbo-prop,575,
