run_id,question_id,mode,category,question,session_id,http_status,request_success,validated_success,validation_status,assertion_type,assertion_detail,failure_type,error_detail,client_request_latency_ms,server_handler_latency_ms,app_startup_latency_ms,mcp_server_startup_latency_ms,sql_execution_latency_ms,response_text,sql_query,query_results,sql_execution_success,sql_execution_error,model_name,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd
20260401_184930,q001,mcp,shootings,Give me US shootings in Louisiana from the year 2014.,100001,200,True,True,validated,contains_all,"Matched all expected substrings: 95500, louisiana",none,,10716.531,10693.162,2026.298,1002.252,,"IncidentID,Address,IncidentDate,State,CityOrCountry,VictimsKilled,VictimsInjured,SuspectsInjured,SuspectsKilled,SuspectsArrested
95500,3600 block of Highway 80 W,2014-01-12,louisiana,Tallulah,0,6,0,0,8",,,,,gpt-5-mini,17857,633,18490,
20260401_184930,q002,mcp,unemployment,Give me the unemployment rate for Georgia in 2023.,100002,200,True,True,validated,contains_all,"Matched all expected substrings: georgia, 3.3",none,,5616.59,5592.073,2026.298,1002.252,,Georgia — Unemployment rate in 2023: 3.3% (change from 2022: +0.1 percentage points).,,,,,gpt-5-mini,16511,58,16569,
20260401_184930,q003,mcp,unemployment,How does the unemployment rate in Hawaii compare to Indiana in 2023?,100003,200,True,True,validated,contains_all,"Matched all expected substrings: hawaii, indiana",none,,7577.086,7561.853,2026.298,1002.252,,"Hawaii (2023): 2.9% (down 0.4 percentage points from 3.3% in 2022), rank = 6  
Indiana (2023): 3.4% (up 0.3 percentage points from 3.1% in 2022), rank = 44

Hawaii’s 2023 unemployment rate was 0.5 percentage points lower than Indiana’s.",,,,,gpt-5-mini,17493,386,17879,
20260401_184930,q004,mcp,unemployment,What were the five states with the lowest unemployment rates in 2022?,100004,500,False,False,http_failure,http_failure,Connection error.,http_error,Connection error.,102774.448,,2026.298,1002.252,,,,,,,,,,,
20260401_184930,q005,mcp,ngo,Give me the full name and full address of the NGO with EIN 100006500.,100005,500,False,False,http_failure,http_failure,Connection error.,http_error,Connection error.,1891.641,,2026.298,1002.252,,,,,,,,,,,
20260401_184930,q001,text2sql,shootings,Give me US shootings in Louisiana from the year 2014.,200001,500,False,False,http_failure,http_failure,Connection error.,http_error,Connection error.,1455.159,,2007.509,,,,,,,,,,,,
20260401_184930,q002,text2sql,unemployment,Give me the unemployment rate for Georgia in 2023.,200002,500,False,False,http_failure,http_failure,Connection error.,http_error,Connection error.,1407.755,,2007.509,,,,,,,,,,,,
20260401_184930,q003,text2sql,unemployment,How does the unemployment rate in Hawaii compare to Indiana in 2023?,200003,500,False,False,http_failure,http_failure,Connection error.,http_error,Connection error.,1308.305,,2007.509,,,,,,,,,,,,
20260401_184930,q004,text2sql,unemployment,What were the five states with the lowest unemployment rates in 2022?,200004,500,False,False,http_failure,http_failure,Connection error.,http_error,Connection error.,1493.873,,2007.509,,,,,,,,,,,,
20260401_184930,q005,text2sql,ngo,Give me the full name and full address of the NGO with EIN 100006500.,200005,500,False,False,http_failure,http_failure,Connection error.,http_error,Connection error.,1278.122,,2007.509,,,,,,,,,,,,
